project_id|project_name|status|total_commitment_usd|approval_date|end_date|sector|theme|borrower|implementing_agency|country|project_url|source
P003253|Environmental Support Program Project|Closed|19.19|1997-06-10 00:00:00+00:00|2003-12-31|Social Protection; Other Public Administration|Environment and Natural Resource Management; Social Development and Protection|||Republic of Zambia||World Bank
P044324|Enterprise Development Project|Closed|45.0|1997-05-27 00:00:00+00:00|2003-06-30|Trade; Banking Institutions; Other Industry, Trade and Services|Finance; Private Sector Development; Economic Policy|||Republic of Zambia||World Bank
P049340|SECOND ECN.&SCL ADJ.|Closed|7.8|1996-11-14 00:00:00+00:00||Renewable Energy Biomass; Other Industry, Trade and Services; Social Protection; Other Education; Central Government (Central Agencies)|Urban and Rural Development; Public Sector Management; Finance; Economic Policy|||Republic of Zambia||World Bank
P003224|Economic and Social Adjustment Credit (02)|Closed|90.0|1996-08-01 00:00:00+00:00|1998-01-09|Other Industry, Trade and Services; Renewable Energy Biomass; Social Protection; Other Education; Central Government (Central Agencies)|Urban and Rural Development; Public Sector Management; Finance; Private Sector Development; Economic Policy|||Republic of Zambia||World Bank
P040642|Economic Recovery and Investment Promotion Technical Assistance Project|Closed|23.0|1996-06-04 00:00:00+00:00|2005-09-30|Law and Justice; Renewable Energy Biomass; Central Government (Central Agencies)|Public Sector Management; Private Sector Development|||Republic of Zambia||World Bank
P003240|Economic Recovery and Investment Promotion Credit|Closed|140.0|1995-07-11 00:00:00+00:00|1997-12-31|Social Protection; Banking Institutions; Central Government (Central Agencies); Public Administration - Social Protection; Renewable Energy Biomass|Environment and Natural Resource Management; Human Development and Gender; Social Development and Protection; Public Sector Management; Finance|||Republic of Zambia||World Bank
P003241|Urban Restructuring and Water Supply Project|Closed|44.2|1995-05-16 00:00:00+00:00|2001-12-31|Social Protection; Sub-National Government; Sewerage; Sanitation; Water Supply|Environment and Natural Resource Management; Urban and Rural Development; Social Development and Protection|||Republic of Zambia||World Bank
P003239|Health Sector Support Project|Closed|198.9|1994-11-15 00:00:00+00:00|2002-06-30|Central Government (Central Agencies); Health|Urban and Rural Development; Human Development and Gender; Social Development and Protection|||Republic of Zambia||World Bank
P003252|Petroleum Sector Rehabilitation Project|Closed|52.0|1994-05-31 00:00:00+00:00|2001-12-31|Central Government (Central Agencies); Oil and Gas|Urban and Rural Development; Public Sector Management; Finance|||Republic of Zambia||World Bank
P003148|DEBT BUY-BACK|Closed|0.0|1994-05-10 00:00:00+00:00|1994-06-30|(Historic)Macro/non-trade|Unknown|||Republic of Zambia||World Bank
P029712|PRIVATIZATION II|Closed|10.0|1993-08-09 00:00:00+00:00||Other Non-bank Financial Institutions; Renewable Energy Biomass; Other Energy and Extractives; Central Government (Central Agencies); Other Industry, Trade and Services|Human Development and Gender; Public Sector Management; Finance; Private Sector Development; Economic Policy|||Republic of Zambia||World Bank
P003258|Financial and Legal Management Upgrading Project (FILMUP)|Closed|18.0|1993-07-13 00:00:00+00:00|2000-06-30|Central Government (Central Agencies); Other Non-bank Financial Institutions; Law and Justice|Public Sector Management; Finance|||Republic of Zambia||World Bank
P003259|PRIVATIZATION|Closed|20.9|1992-12-23 00:00:00+00:00||Renewable Energy Biomass; Crops; Social Protection; Central Government (Central Agencies); Other Industry, Trade and Services|Public Sector Management; Private Sector Development; Economic Policy|||Republic of Zambia||World Bank
P003256|ECONOMIC RECOVERY CREDIT|Closed|10.0|1992-05-19 00:00:00+00:00||Roads and highways; Banking Institutions; Crops; Central Government (Central Agencies); Other Industry, Trade and Services|Urban and Rural Development; Public Sector Management; Finance; Economic Policy|||Republic of Zambia||World Bank
P003238|Mining Technical Assistance Project|Closed|21.0|1991-06-13 00:00:00+00:00|1997-06-30|Central Government (Central Agencies); Renewable Energy Biomass|Unknown|||Republic of Zambia||World Bank
P003235|Economic Recovery Credit Project|Closed|210.0|1991-03-05 00:00:00+00:00|1993-06-01|Roads and highways; Banking Institutions; Crops; Central Government (Central Agencies); Other Industry, Trade and Services|Unknown|||Republic of Zambia||World Bank
P003243|RECOVERY CREDIT|Closed|27.2|1991-03-05 00:00:00+00:00||Roads and highways; Banking Institutions; Crops; Central Government (Central Agencies); Other Industry, Trade and Services|Unknown|||Republic of Zambia||World Bank
P003214|Development Bank of Zambia Project (03)|Closed|10.0|1987-01-06 00:00:00+00:00|1992-06-30|(Historic)Small scale enterprise|Unknown|||Republic of Zambia||World Bank
P003190|Agricultural Services Project|Closed|13.0|1986-12-09 00:00:00+00:00|1996-12-31|Central Government (Central Agencies); Agricultural Extension, Research, and Other Support Activities|Unknown|||Republic of Zambia||World Bank
P003194|Coffee Project (02)|Closed|20.4|1986-11-25 00:00:00+00:00|1996-12-31|Central Government (Central Agencies); Agricultural Extension, Research, and Other Support Activities; Crops|Unknown|||Republic of Zambia||World Bank
P003215|Recovery Program Project|Closed|50.0|1986-06-26 00:00:00+00:00|1991-06-30|(Historic)Economic management|Unknown|||Republic of Zambia||World Bank
P003234|Agricultural Rehabilitation Credit Project (Supplemental)|Closed|0.0|1986-06-15 00:00:00+00:00||(Historic)Agriculture adjustment|Unknown|||Republic of Zambia||World Bank
P003193|Technical Assistance Project (02)|Closed|8.0|1986-04-01 00:00:00+00:00|1994-12-31|(Historic)Public sector management adjustment|Unknown|||Republic of Zambia||World Bank
P003207|Fertilizer Industry Technical Assistance Project|Closed|10.0|1986-02-25 00:00:00+00:00|1991-12-31|(Historic)Fertilizer and other chemicals|Unknown|||Republic of Zambia||World Bank
P003189|Industrial Reorientation Project|Closed|20.0|1985-10-22 00:00:00+00:00|1988-12-31|(Historic)Industrial restructuring|Unknown|||Republic of Zambia||World Bank
P003213|Tazama Pipeline Rehabilitation Engineering Project|Closed|3.1|1985-09-19 00:00:00+00:00|1988-12-31|(Historic)Oil and gas transportation|Unknown|||Republic of Zambia||World Bank
P003192|Railway Project (04)|Closed|20.0|1985-03-28 00:00:00+00:00|1994-06-30|Railways|Unknown|||Republic of Zambia||World Bank
P003187|Agricultural Rehabilitation Credit Project|Closed|25.0|1985-01-29 00:00:00+00:00|1988-06-30|(Historic)Agriculture adjustment|Unknown|||Republic of Zambia||World Bank
P003188|Fisheries Development Project|Closed|7.1|1984-11-27 00:00:00+00:00|1991-12-31|Fisheries|Unknown|||Republic of Zambia||World Bank
P003186|Export Rehabilitation and Diversification Project|Closed|75.0|1984-03-20 00:00:00+00:00|1988-09-30|(Historic)Trade policy reform|Unknown|||Republic of Zambia||World Bank
P003185|Industrial Forestry Project (03)|Closed|22.4|1984-01-10 00:00:00+00:00|1993-09-30|Forestry|Unknown|||Republic of Zambia||World Bank
P003184|Rural Water Supply Project|Closed|16.0|1983-05-12 00:00:00+00:00|1991-09-30|(Historic)Rural water supply and sanitation|Unknown|||Republic of Zambia||World Bank
P003183|Maamba Coal Engineering Project|Closed|4.3|1983-03-15 00:00:00+00:00|1987-06-30|(Historic)Mining and other extractive|Unknown|||Republic of Zambia||World Bank
P003181|Petroleum Exploration Promotion Project|Closed|6.6|1982-05-20 00:00:00+00:00|1986-12-31|(Historic)Oil and gas exploration and development|Unknown|||Republic of Zambia||World Bank
